错误代码,分类,返回文本
3107,警告,MSL -> 无需再干燥
3100,警告,MSL 状态无法更改
1303,警告,设备已过期
1302,警告,设备已被分配到库位
1301,警告,已配置设备
1300,警告,设备测试反馈警告
607,警告,料箱无效
605,警告,未激活配置的工位
604,警告,未标识必须配置的零件清单位置
603,警告,未标识必须配置的工序
602,警告,配置尚未对所有组件激活
601,警告,配置尚未激活
600,警告,已激活配置
538,警告,至少一个料箱已完成，已锁定，为空或者已过期
537,警告,至少一个料箱已完成，已锁定或者已过期
536,警告,至少一个料箱为空，已完成或者已锁定
535,警告,一个或多个空箱存在而且已过期
504,警告,系统中物料数量出现负值
503,警告,一个或多个空箱存在而且已过期
502,警告,一个或多个料箱已过期
501,警告,不止有一个空箱存在
500,警告,不止一个料箱已完成或已锁定
406,警告,第一个序列号
405,警告,最后的序列号
404,警告,一个或多个子箱不存在
233,警告,发现异常（PAA）
232,警告,Cpk 违规
231,警告,Cp 违规
230,警告,没有足够多的值计算 PAA
224,警告,序列号 -> 状态已改变
222,警告,副序列号在上一道工序的状态为报废
221,警告,副序列号在上一道工序的状态为返工
212,警告,"序列号在此工位有效, 但尚未记录"
211,警告,发现一次故障
210,警告,其中至少已有一个序列号状态为报废
209,警告,没有为多连板分配序列号
208,警告,此工位的序列号无效 -> 至少以往工序中的一个存在返工记录
207,警告,此工位的序列号无效 -> 至少以往工序中的一个存在报废记录
206,警告,状态为“合格”，但已到达允许的测试次数
205,警告,状态为返工，但已到达允许的测试次数
204,警告,以往工序序列号状态：报废
203,警告,此工位的序列号无效 -> 至少以往工序中的一个无记录
202,警告,此工位的序列号无效 -> 以往工序无记录
201,警告,以往工序序列号状态：返工
6,警告,至少一个面板位出现报废状态
5,警告,未成功处理阵列中的所有数据组
4,警告,所输入的参数“位置”不存在 –将使用默认的（服务器）
3,警告,发现更多的数据
1,警告,未找到数据
0,确定,[空]
-3,故障,会话请求无效
-4,故障,未知用户
-5,故障,密码无效
-6,故障,用户/工位已锁定
-7,故障,客户端不明
-8,故障,无许可证
-9,故障,登录会话失败
-10,故障,服务器故障
-11,故障,用户密码/工位无效
-13,故障,未找到错误代码
-14,故障,系统登录失败！
-15,故障,至少有一个传输的值对应相应的数据库字段过大
-100,故障,未发现工位
-101,故障,此工位无 TR 许可证
-102,故障,此工位无 PM 许可证
-103,故障,已专门锁定工位
-104,故障,尚无用户登录到此工位
-105,故障,缺少一个必要的参数
-106,故障,此用户已登录工位
-107,故障,已有其他用户登录工位
-108,故障,工位可能无法添加序列号
-109,故障,产线不存在
-110,故障,序列号不存在
-112,故障,副序列号不存在
-113,故障,序列号不明
-114,故障,序列号已存档
-116,故障,IMSApi key 不存在
-117,故障,IMSApi key 对此功能无效
-118,故障,IMSApi Key 无效数字格式
-119,故障,部件不明
-120,故障,工作计划不存在
-121,故障,未找到部件
-122,故障,部件分组不存在
-123,故障,部件分组类型不存在
-124,故障,部件与工单中的部件不匹配
-125,故障,ERP 分组不存在
-126,故障,程序版本无效
-127,故障,部件编号无效
-128,故障,工序不存在
-129,故障,部件描述不存在
-130,故障,未找到工单
-131,故障,此序列号相应的工单不存在
-132,故障,工单不明
-133,故障,此工位尚未激活工单
-134,故障,已到达最大工单数量的缺省值
-135,故障,激活工单失败
-136,故障,客户部件不存在
-137,故障,无法创建工单
-138,故障,工单状态无效
-139,故障,零件清单版本与工单中的版本不匹配
-141,故障,读取工单数量出错
-144,故障,此规则决策表不存在
-145,故障,访问规则中出现错误
-146,故障,此规则存在错误
-147,故障,规则类型不正确
-148,故障,规则必要的参数缺失
-149,故障,工单或部件编号是必须的数据
-150,故障,Flag的值无效
-151,故障,必须指定参数“serialNumberRef”
-152,故障,现存比较值不够用于计算
-153,故障,"type [V, R, B, D, -1] 值无效"
-154,故障,checkActiveWorkOrder [0; 1] 值无效
-155,故障,duplicateSerialNumber [0; 1] 值无效
-156,故障,日期值无效
-157,故障,"模式 2 (""workstepFlag"") 需要一个序列号"
-158,故障,"模式 3 (""workstepFlag"") 需要一个有效的 PCB 层面"
-159,故障,verifyCompNameBased [0; 1] 值无效
-160,故障,createNewBom [0; 1] 值无效
-161,故障,alternative [0; 1] 值无效
-162,故障,processBased [0; 1] 值无效
-163,故障,bomType 值无效
-164,故障,错误参数
-165,故障,结合 AVO 编号来配置，如同 “processLayer” 无效
-167,故障,checkProcessStep [0; 1] 值无效
-168,故障,功能模式（控制标识）值无效
-169,故障,数量无效
-170,故障,desolvingSerialNumber [0; 1] 值无效
-171,故障,allProductEntries 值无效
-172,故障,onlyLastEntry 值无效
-173,故障,numberOfRecords 的值为负值
-174,故障,maxRows 的值为负值
-175,故障,model [0; 1; 2] 值无效
-176,故障,未能确认“维修”的值 -> 将数据记录为“未维修”
-177,故障,安装地点无效
-181,故障,工位已锁定
-183,故障,sequenceType [0; 1] 值无效
-184,故障,activateFlag [0; 1; 2] 值无效
-185,故障,processLayer 值无效
-186,故障,产品版本无效
-187,故障,产品版本不存在
-188,故障,checkMultiboard [0; 1] 值无效
-189,故障,processType [M; P] 值无效
-190,故障,state [ -1; 0; 1; 2] 值无效
-191,故障,workstepNumber [-2; -1; 0 或有效的 AVO 编号] 值无效
-192,故障,multiplePanel [>= 0] 值无效
-193,故障,registrationType [0; 1] 值无效
-194,故障,sortFlag [0; 1] 值无效
-195,故障,贴装点（安装点）不存在
-196,故障,一个参数无效
-198,故障,objectType 值无效
-199,故障,公式不存在
-200,故障,serialNumberState 值无效
-201,故障,序列号未激活
-202,故障,序列号已锁定
-203,故障,序列号不是参考序列号
-205,故障,序列号属于另一个工单
-206,故障,序列号已分配于此工单
-213,故障,达到最大预订次数
-214,故障,resolveDirection 值无效
-215,故障,状态登记的序列号无效
-216,故障,序列号在此工位无效
-217,故障,序列号所属产品版本与工单所属产品版本不一致
-219,故障,序列号尚未完结
-220,故障,安装（合并）无效
-221,故障,副序列号未通过上一道工序
-222,故障,在上一道工序中此序列号状态为报废
-223,故障,存有多个序列号能进行安装（合并）
-224,故障,序列号尚未完结
-226,故障,副序列号在上一道工序状态记录为返工
-227,故障,副序列号在上一道工序状态记录为报废
-228,故障,副序列号已锁定
-229,故障,序列号尚未在先前的工位中预订
-230,故障,工位对于此工单无效
-231,故障,记录序列号失败
-232,故障,产品合并出现故障（合并）
-234,故障,多连板数量（主）与副序列号数量不一致
-235,故障,无法新建序列号
-237,故障,序列号属于另一个工位
-238,故障,产品拆分出错（分解）
-239,故障,序列号数组为空
-240,故障,对应工单、PCB层面和工位的工序不存在
-241,故障,此工序对于 PCB 层面与工位不明
-242,故障,零件清单版本无效
-243,故障,此工单中不存在此工序
-244,故障,序列号已在阵列中出现了多次
